type,number,name,title,bidder,date,committee_mem1,committee_mem2,committee_mem3
EOI 1213,EOI,1213,Jay Heikes,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Jennifer Turpin Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Jenny Holzer Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Jeppe Hein GmbH,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Jill Chism,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,JMD Design,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Johann Feilacher,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Johann Kaanig,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Johannes Helden,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,John Atkin,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,John Meade,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,John Thomson,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Jon Tarry,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Joseph Kosuth Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Josiah McElheny,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Judy Watson,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Judy Watson + Jodie Cox,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Julia May Gorman,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Julia Yonetani,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Julie Rrap,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Jun Kaneko Studio L.L.C.,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Uunya.Ishigami+Associates,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Jurek Wybraniec,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Katharina Fritsch,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Kathy Temin,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Katia Strunz Sydney Projects,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Katja Strunz,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Kerrie Poliness,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Kimsooja Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Knox Nominees Australia Pty Ltd (trading as Alexander Knox),City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Konstantin Dimopoulos,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Krijn de Koning Studio,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Krivanek+Breaux/ Art+Design,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,L+,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Lang / Baumann,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Lara Almarcegui,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Laurent Grasso,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Lehmann Maupin,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Leslie Eastman,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Lightwell,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Liliane Lijn,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Linda Klarfeld,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Lindy Lee,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Lisa Cainero Design Pty Limited,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Lisa Roet,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Living Timelines,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
EOI 1213,EOI,1213,Liz Rideal,City centre public art for George Street spine,10/31/13, Mary Vangelovska,Claire Morgan, Steve Vidovic.
